Follower Athlete ID,Follow Status,Created At
8944430,Accepted,"23 May 2015, 16:17:06"
8310230,Accepted,"23 May 2015, 21:52:42"
5136619,Accepted,"20 Nov 2015, 06:56:56"
9874556,Accepted,"28 Mar 2016, 09:54:43"
2367326,Accepted,"13 Apr 2016, 05:34:18"
15170084,Accepted,"5 Sep 2016, 08:30:12"
11865175,Accepted,"27 Oct 2016, 08:44:35"
10629120,Accepted,"30 Oct 2016, 12:39:02"
18764907,Accepted,"28 Jan 2017, 15:19:35"
16784058,Accepted,"30 Jan 2017, 06:25:09"
4925396,Accepted,"2 Feb 2017, 08:17:09"
8368834,Accepted,"14 Feb 2017, 07:35:45"
16932843,Accepted,"18 Feb 2017, 14:09:35"
4698353,Accepted,"5 Mar 2017, 20:47:37"
3476234,Accepted,"18 Mar 2017, 13:20:54"
1133339,Accepted,"19 Mar 2017, 17:52:14"
13746827,Accepted,"21 Mar 2017, 15:39:29"
18534505,Accepted,"25 Mar 2017, 15:51:23"
10215059,Accepted,"3 Apr 2017, 05:18:00"
15772262,Accepted,"4 Apr 2017, 20:04:31"
14923081,Accepted,"5 Apr 2017, 13:05:37"
8139399,Accepted,"2 May 2017, 06:40:10"
19899489,Accepted,"5 Jun 2017, 18:32:45"
20246125,Accepted,"18 Jun 2017, 13:42:00"
9985948,Accepted,"24 Jun 2017, 13:04:10"
16039935,Accepted,"26 Jun 2017, 21:48:44"
23010017,Accepted,"28 Jun 2017, 11:45:17"
23048414,Accepted,"3 Jul 2017, 09:29:18"
20023890,Accepted,"4 Jul 2017, 07:20:38"
3932033,Accepted,"11 Jul 2017, 16:42:38"
6753733,Accepted,"6 Aug 2017, 05:39:54"
24145134,Accepted,"13 Aug 2017, 01:16:16"
18762182,Accepted,"21 Aug 2017, 01:57:45"
6476472,Accepted,"24 Aug 2017, 21:51:41"
2785647,Accepted,"29 Aug 2017, 10:13:26"
24620097,Accepted,"30 Aug 2017, 07:57:33"
17999578,Accepted,"30 Aug 2017, 20:06:25"
19592357,Accepted,"12 Sep 2017, 17:33:42"
24973464,Accepted,"13 Sep 2017, 12:13:26"
25033195,Accepted,"16 Sep 2017, 11:46:18"
25025232,Accepted,"20 Sep 2017, 07:13:16"
25238941,Accepted,"24 Sep 2017, 12:27:54"
25067156,Accepted,"14 Oct 2017, 10:20:12"
7014729,Accepted,"15 Oct 2017, 07:35:30"
2203201,Accepted,"15 Oct 2017, 10:36:44"
6364982,Accepted,"15 Oct 2017, 16:04:40"
4020569,Accepted,"7 Nov 2017, 19:57:49"
26163935,Accepted,"10 Nov 2017, 08:41:54"
18618487,Accepted,"26 Nov 2017, 12:54:29"
26333147,Accepted,"29 Nov 2017, 05:51:51"
23625676,Accepted,"29 Nov 2017, 12:49:00"
