Following Athlete ID,Follow Status,Created At
8944430,Accepted,"23 May 2015, 16:14:14"
8310230,Accepted,"11 Jun 2015, 06:42:46"
1476437,Accepted,"21 Sep 2015, 19:12:38"
15170084,Accepted,"21 Sep 2016, 15:40:31"
4020569,Accepted,"27 Oct 2016, 08:39:47"
11877787,Accepted,"27 Oct 2016, 08:40:22"
11865175,Accepted,"27 Oct 2016, 08:40:31"
14923081,Accepted,"27 Oct 2016, 08:40:55"
3328660,Accepted,"27 Oct 2016, 08:41:42"
10300424,Accepted,"31 Oct 2016, 12:12:28"
1767811,Accepted,"31 Oct 2016, 16:21:32"
10215059,Accepted,"4 Dec 2016, 11:28:52"
8139399,Accepted,"22 Dec 2016, 13:35:35"
18764907,Accepted,"28 Jan 2017, 12:51:13"
16784058,Accepted,"30 Jan 2017, 06:23:41"
4925396,Accepted,"2 Feb 2017, 07:32:35"
16932843,Accepted,"3 Feb 2017, 07:38:16"
8516633,Accepted,"5 Feb 2017, 06:10:37"
1458683,Accepted,"11 Feb 2017, 17:25:28"
8368834,Accepted,"12 Feb 2017, 05:41:21"
3476234,Accepted,"18 Mar 2017, 13:28:57"
1796622,Accepted,"19 Mar 2017, 12:15:14"
1350565,Accepted,"21 Mar 2017, 09:25:58"
13746827,Accepted,"21 Mar 2017, 16:46:02"
15772262,Accepted,"5 Apr 2017, 04:55:54"
1602857,Accepted,"14 Apr 2017, 11:44:44"
6957728,Accepted,"18 Apr 2017, 10:10:05"
11680021,Accepted,"18 Apr 2017, 10:10:24"
20246125,Accepted,"21 Apr 2017, 12:17:26"
5410947,Accepted,"20 May 2017, 15:46:57"
16039935,Accepted,"7 Jun 2017, 19:22:24"
23010017,Accepted,"30 Jun 2017, 18:18:09"
20023890,Accepted,"4 Jul 2017, 07:23:50"
3932033,Accepted,"9 Jul 2017, 13:32:44"
6753733,Accepted,"17 Jul 2017, 21:17:36"
24145134,Accepted,"20 Aug 2017, 14:17:53"
18762182,Accepted,"21 Aug 2017, 06:35:48"
2663277,Accepted,"31 Aug 2017, 07:42:52"
6173904,Accepted,"10 Sep 2017, 09:03:27"
13416834,Accepted,"10 Sep 2017, 09:03:33"
19592357,Accepted,"13 Sep 2017, 12:06:18"
24973464,Accepted,"13 Sep 2017, 12:07:37"
25033195,Accepted,"16 Sep 2017, 09:22:22"
25067156,Accepted,"17 Sep 2017, 12:42:24"
25025232,Accepted,"20 Sep 2017, 07:26:21"
25238941,Accepted,"24 Sep 2017, 12:27:04"
6364982,Accepted,"15 Oct 2017, 16:04:56"
