Goal Type,Activity Type,Goal,Start Date,End Date,Segment ID,Time Period,Interval Time
Distance Goal,Run,1500000.0,"5 Oct 2020, 09:46:18",,,Year
Distance Goal,Ride,180000.0,"2 May 2020, 19:37:53",,,Week
Time Goal,Swim,3600.0,"24 Jun 2018, 07:36:28",,,Week
Distance Goal,Run,40000.0,"19 Sep 2017, 04:38:04",,,Week
Distance Goal,Ride,200000.0,"5 Oct 2020, 09:46:30",,,Week
Distance Goal,Swim,5000.0,"25 Feb 2021, 14:07:07",,,Week
Time Goal,Run,10800.0,"24 Jun 2018, 07:35:32",,,Week
Distance Goal,Ride,150000.0,"10 Jan 2021, 09:03:57",,,Week
Distance Goal,Swim,200000.0,"1 Jan 2021, 09:09:49",,,Year
Time Goal,Ride,28800.0,"28 Jun 2018, 13:23:15",,,Week
Distance Goal,Ride,180000.0,"2 May 2020, 21:37:53",,,Week
Distance Goal,Ride,10000000.0,"19 May 2021, 14:47:51",,,Year
Distance Goal,Ride,8000000.0,"17 Sep 2020, 03:52:10",,,Year
Time Goal,Ride,21600.0,"24 Jun 2018, 07:36:13",,,Week
Distance Goal,Swim,6000.0,"15 Nov 2017, 09:53:22",,,Week
Distance Goal,Swim,5000.0,"16 Jan 2018, 11:17:46",,,Week
Distance Goal,Swim,10000.0,"17 Sep 2017, 12:43:49",,,Week
Distance Goal,Ride,200000.0,"10 Feb 2021, 12:42:16",,,Week
Distance Goal,Run,40000.0,"2 May 2020, 19:37:47",,,Week
Distance Goal,Swim,150000.0,"5 Oct 2020, 09:46:57",,,Year
Time Goal,Run,14400.0,"28 Jun 2018, 13:23:07",,,Week
Time Goal,Ride,21600.0,"12 Oct 2018, 05:37:21",,,Week
Distance Goal,Ride,180000.0,"3 Jan 2021, 12:01:02",,,Week
Distance Goal,Ride,200000.0,"6 Apr 2020, 17:58:49",,,Week
Distance Goal,Swim,500000.0,"17 Jul 2017, 15:52:33",,,Year
Distance Goal,Run,45000.0,"17 Sep 2017, 12:43:27",,,Week
Distance Goal,Run,1500000.0,"17 Jul 2017, 15:53:10",,,Year
Distance Goal,Run,50000.0,"6 Apr 2020, 17:58:21",,,Week
Distance Goal,Ride,180000.0,"17 Sep 2020, 03:52:10",,,Week
Distance Goal,Swim,10000.0,"21 May 2018, 08:39:13",,,Week
Distance Goal,Ride,10000000.0,"17 Jul 2017, 15:52:53",,,Year
Distance Goal,Run,2000000.0,"1 Jan 2021, 09:09:19",,,Year
Distance Goal,Run,2000000.0,"17 Sep 2020, 03:52:10",,,Year
Distance Goal,Run,2000000.0,"6 Apr 2020, 17:58:03",,,Year
Distance Goal,Swim,2000.0,"4 Jan 2021, 19:30:03",,,Week
Distance Goal,Run,30000.0,"5 Oct 2020, 09:46:18",,,Week
Distance Goal,Swim,3000.0,"12 Apr 2020, 15:20:30",,,Week
Distance Goal,Ride,8000000.0,"6 Apr 2020, 17:58:33",,,Year
Distance Goal,Run,40000.0,"1 Jan 2021, 10:00:27",,,Week
Distance Goal,Run,40000.0,"17 Sep 2020, 03:52:10",,,Week
Distance Goal,Run,40000.0,"12 Oct 2018, 05:37:45",,,Week
Distance Goal,Ride,200000.0,"19 Sep 2017, 04:38:10",,,Week
Distance Goal,Ride,250000.0,"17 Sep 2017, 12:43:36",,,Week
