Promotion Seen,Timestamp
Feed Follow Option Coachmark,1592986811
Grade Adjusted Pace Activity Detail Feature Education,1591338043
Grade Adjusted Pace Activity Detail Feature Education,1591549704
Grade Adjusted Pace Activity Detail Feature Education,1591556079
"<span class=""translation_missing"" title=""translation missing: en-GB.lib.export.portability_exporter.metering.label.NAVIGATION_TAB_HOME"">Navigation Tab Home</span>",1626250681
"<span class=""translation_missing"" title=""translation missing: en-GB.lib.export.portability_exporter.metering.label.NAVIGATION_TAB_YOU"">Navigation Tab You</span>",1626268552
"<span class=""translation_missing"" title=""translation missing: en-GB.lib.export.portability_exporter.metering.label.NAVIGATION_TAB_YOU_PROGRESS"">Navigation Tab You Progress</span>",1626268555
"<span class=""translation_missing"" title=""translation missing: en-GB.lib.export.portability_exporter.metering.label.NAVIGATION_TAB_YOU_ACTIVITIES"">Navigation Tab You Activities</span>",1626268552
"<span class=""translation_missing"" title=""translation missing: en-GB.lib.export.portability_exporter.metering.label.NAVIGATION_TAB_YOU_PROFILE"">Navigation Tab You Profile</span>",1626274229
"<span class=""translation_missing"" title=""translation missing: en-GB.lib.export.portability_exporter.metering.label.NAVIGATION_TAB_MAPS_SEGMENTS"">Navigation Tab Maps Segments</span>",1626250689
"<span class=""translation_missing"" title=""translation missing: en-GB.lib.export.portability_exporter.metering.label.NAVIGATION_TAB_MAPS_ROUTES"">Navigation Tab Maps Routes</span>",1626250699
"<span class=""translation_missing"" title=""translation missing: en-GB.lib.export.portability_exporter.metering.label.NAVIGATION_TAB_MAPS_SAVED"">Navigation Tab Maps Saved</span>",1626250724
"<span class=""translation_missing"" title=""translation missing: en-GB.lib.export.portability_exporter.metering.label.NAVIGATION_TAB_GROUPS_ACTIVE"">Navigation Tab Groups Active</span>",1626250685
"<span class=""translation_missing"" title=""translation missing: en-GB.lib.export.portability_exporter.metering.label.NAVIGATION_YOU_PROGRESS_EDUCATION_DISMISSED"">Navigation You Progress Education Dismissed</span>",1626268558
"<span class=""translation_missing"" title=""translation missing: en-GB.lib.export.portability_exporter.metering.label.NAVIGATION_YOU_PROGRESS_EDUCATION_COACHMARK_IMPRESSION"">Navigation You Progress Education Coachmark Impression</span>",1626196227
"<span class=""translation_missing"" title=""translation missing: en-GB.lib.export.portability_exporter.metering.label.NAVIGATION_YOU_PROGRESS_EDUCATION_COACHMARK_IMPRESSION"">Navigation You Progress Education Coachmark Impression</span>",1626268555
"<span class=""translation_missing"" title=""translation missing: en-GB.lib.export.portability_exporter.metering.label.NAVIGATION_TAB_EDUCATION_MODAL_MAPS_J2"">Navigation Tab Education Modal Maps J2</span>",1626250689
"<span class=""translation_missing"" title=""translation missing: en-GB.lib.export.portability_exporter.metering.label.NAVIGATION_TAB_EDUCATION_MODAL_GROUPS_J2"">Navigation Tab Education Modal Groups J2</span>",1626250685
